id,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
5099,-45.40,-21.04,13.70,-0.52,-25.96,-35.70,-1.90,1.67,16.18,20.15
5101,-6.64,24.47,31.99,25.13,-0.84,7.13,33.72,29.08,35.51,41.38
5103,-52.94,-23.12,6.43,8.87,-29.80,-32.98,-6.97,1.47,10.85,8.61
5105,-47.04,-4.61,18.48,5.02,-21.23,-20.96,11.63,11.60,32.51,35.40
5107,-39.87,-21.28,-11.75,-17.12,-38.23,-40.96,-30.75,-27.98,-28.97,-32.84
5109,-39.06,-4.34,29.67,11.17,-13.97,-22.54,16.90,20.88,41.30,52.69
5111,-42.95,-9.30,17.90,-3.03,-34.02,-35.71,-15.40,-6.66,27.26,34.18
5113,-17.99,20.16,41.70,25.91,-5.61,0.42,31.77,34.86,45.78,56.94
5115,-31.47,5.99,35.23,34.01,1.97,-1.01,24.83,31.16,43.33,47.15
5117,-55.44,-1.87,25.03,7.08,-30.64,-33.17,8.53,12.91,34.75,40.53
5119,-25.48,-2.40,17.55,11.46,-23.14,-23.72,-9.79,-10.82,-11.55,-11.46
5121,-48.68,-8.28,11.88,-4.08,-34.13,-25.28,-5.89,-3.81,18.14,27.79
5123,-30.53,-12.69,4.96,-3.99,-30.64,-35.16,-18.50,-19.49,-16.51,-18.44
5125,-48.86,-10.42,24.52,18.67,-10.00,-8.13,18.27,27.20,40.95,42.70
5127,-33.70,-0.17,30.94,18.77,-11.68,-19.39,23.99,25.78,43.50,47.64
5129,-8.18,22.07,35.85,33.86,2.33,2.95,34.03,29.93,45.88,51.03
5131,5.69,35.96,51.35,42.81,0.62,2.74,19.74,24.48,34.63,37.08
5133,-39.43,-6.40,25.80,5.02,-19.28,-26.53,0.37,10.45,40.04,48.36
5135,-24.30,10.07,27.42,10.10,-17.72,-13.46,6.48,11.14,28.94,38.84
5137,-45.48,-4.40,16.59,11.56,-18.85,-15.78,11.93,16.81,36.36,45.20
5139,-2.09,14.94,32.65,26.95,-7.97,-14.55,15.29,19.24,26.12,26.22
5141,-42.29,1.94,22.99,15.38,-16.40,-17.29,4.05,9.19,31.70,39.39
5143,-4.95,24.03,37.26,30.13,-3.63,-2.14,13.23,12.68,13.08,16.25
5145,-41.17,-3.88,30.68,22.69,-9.07,-7.36,21.80,29.79,47.25,53.73
5147,-56.31,-33.23,-10.11,-27.26,-54.74,-50.70,-30.22,-31.43,-7.46,-4.21
5149,-49.93,-7.22,20.17,12.19,-21.71,-24.65,2.48,11.49,29.90,38.83
6001,-19.80,-10.34,-18.64,-30.79,-42.43,-42.71,-45.23,-51.89,-59.33,-60.56
6003,8.05,26.25,15.02,13.77,1.11,0.98,2.73,-8.84,-24.50,-23.39
6005,-4.22,22.85,24.62,13.75,1.24,6.93,18.49,25.52,14.56,19.50
6007,7.65,28.28,27.74,13.59,-1.04,10.45,17.02,9.58,-2.34,1.99
6009,1.17,28.98,29.90,14.48,0.10,9.49,18.57,23.79,12.90,16.90
6011,7.58,25.87,32.05,20.40,14.04,17.69,33.70,35.60,18.05,21.29
6013,1.11,12.77,9.91,-3.25,-21.42,-20.58,-21.75,-25.82,-37.63,-35.14
6015,-5.62,24.02,19.00,1.70,-5.94,0.20,16.99,15.54,6.76,9.38
6017,-1.11,28.73,31.24,20.20,7.54,15.51,21.94,23.89,10.49,17.76
6019,-1.61,10.70,9.56,1.16,-1.50,2.09,10.09,15.69,-2.08,-1.79
6021,7.63,38.01,40.92,25.73,13.00,24.81,37.85,35.04,22.03,25.23
6023,-12.60,14.24,4.85,-15.96,-17.59,-8.65,-2.92,-18.63,-28.11,-27.10
6025,1.76,19.03,25.08,11.32,-5.33,-18.51,-10.25,-6.05,-26.16,-32.05
6027,18.94,38.88,42.01,30.48,11.74,17.48,26.37,20.21,9.12,11.42
6029,6.72,25.99,31.02,24.08,11.30,17.21,24.50,34.01,17.68,16.71
6031,1.21,16.99,28.97,13.85,2.69,4.32,18.83,31.67,14.14,14.93
6033,-7.42,17.75,11.22,-2.37,-16.67,-13.94,-9.65,-8.29,-19.19,-16.94
6035,-11.35,18.58,23.95,19.44,4.32,19.00,38.71,43.39,34.09,39.56
6037,-1.91,10.03,10.15,-5.02,-23.50,-28.37,-31.11,-27.50,-40.37,-41.86
6039,-5.24,14.24,21.34,10.76,7.28,17.14,25.85,29.32,13.26,17.11
6041,9.67,9.63,-0.56,-19.11,-34.95,-29.87,-35.94,-47.80,-57.58,-51.23
6043,-1.88,21.27,24.39,11.14,-0.49,13.28,23.67,22.68,12.38,18.17
6045,-4.04,5.84,6.24,-13.48,-23.51,-15.87,-12.68,-29.74,-42.61,-38.52
6047,-5.57,5.83,18.80,3.80,-4.37,-2.00,6.70,14.29,-8.32,-8.72
6049,4.91,38.33,41.21,27.43,6.79,21.31,49.28,46.70,37.74,41.45
6051,21.13,37.04,46.15,25.18,1.86,7.38,11.62,-0.13,-13.27,-8.65
6053,5.05,21.16,15.37,1.02,-15.77,-16.49,-20.30,-21.98,-38.26,-36.86
6055,6.94,19.83,16.95,2.06,-16.00,-14.80,-14.43,-20.51,-32.47,-28.69
6057,1.45,28.95,27.11,17.29,4.32,14.84,17.54,8.48,-5.31,0.63
6059,26.83,45.26,50.44,36.66,12.31,13.79,15.40,20.70,2.56,6.23
6061,-7.12,21.13,27.70,20.64,8.23,15.70,23.25,26.35,11.24,19.28
6063,-8.30,15.57,15.03,3.90,-1.44,14.00,27.74,24.81,11.97,16.82
6065,0.78,28.36,27.95,19.88,-1.58,2.56,6.51,16.80,-2.31,-1.65
6067,-7.65,7.35,12.42,3.35,-8.20,-9.07,-3.98,-0.23,-18.96,-18.93
6069,4.13,17.17,22.83,9.89,-9.75,-11.84,-12.57,-6.16,-22.70,-20.61
6071,1.59,28.01,30.82,21.44,-1.49,-0.78,1.54,11.76,-6.32,-7.33
6073,14.14,33.55,31.89,21.85,-1.55,1.46,3.97,6.12,-10.16,-7.56
6075,-11.75,-20.56,-35.91,-46.64,-54.60,-56.58,-59.44,-67.82,-70.33,-70.38
6077,1.52,19.82,20.37,9.83,-3.44,-1.46,1.19,7.36,-10.64,-13.66
6079,5.27,26.07,28.71,13.11,-3.59,6.31,11.33,7.17,-5.35,-1.02
6081,6.23,12.22,4.96,-12.81,-26.82,-31.33,-33.33,-40.23,-48.72,-46.66
6083,4.93,22.47,26.75,9.75,-7.27,-4.47,-1.24,-7.95,-22.82,-18.01
6085,2.52,13.01,11.16,-4.32,-20.83,-24.72,-26.22,-29.31,-40.90,-42.83
6087,-7.98,5.83,-8.07,-24.76,-36.20,-29.58,-34.14,-48.12,-57.54,-55.45
6089,-5.09,25.69,25.87,20.58,9.63,22.06,34.79,35.91,25.78,29.08
6091,-10.22,11.87,15.66,4.07,2.03,17.81,34.22,30.95,20.84,22.40
6093,0.07,21.91,18.86,3.88,-7.71,8.92,29.64,22.93,10.33,15.16
6095,-12.24,12.35,10.23,-3.80,-19.25,-20.38,-17.85,-15.32,-28.50,-29.24
6097,0.19,12.01,3.44,-14.57,-28.69,-26.03,-27.29,-36.28,-49.60,-45.72
6099,-7.50,9.40,19.37,7.16,-4.02,-1.14,8.37,18.25,-1.72,-2.74
6101,11.03,35.97,44.00,36.09,19.62,23.28,33.63,35.34,16.65,19.08
6103,-6.45,27.87,27.41,15.15,-0.42,14.68,32.43,34.41,24.01,27.42
6105,-4.20,23.69,22.34,12.53,-2.07,5.55,24.29,11.95,-4.56,0.73
6107,10.80,22.81,28.77,20.57,10.50,15.85,23.45,33.28,15.29,15.01
6109,-2.98,20.92,17.74,9.78,-2.86,6.54,16.07,21.50,12.66,15.68
6111,9.10,30.75,38.48,24.44,-1.53,-0.63,1.03,3.66,-12.24,-7.01
6113,-11.91,-3.87,-3.05,-15.12,-25.18,-24.49,-17.40,-20.59,-36.23,-33.94
6115,-7.77,21.59,28.84,23.99,9.16,14.10,26.61,35.45,14.68,18.04
8001,-6.60,13.60,21.64,-6.70,-14.07,-12.36,-6.09,-2.35,-18.36,-16.78
8003,11.26,16.16,26.17,8.81,-7.71,-5.91,7.10,2.58,-14.09,-16.47
8005,29.61,38.64,45.24,21.86,3.05,8.88,7.98,3.96,-12.91,-9.92
8007,9.50,37.89,44.98,28.51,15.02,28.11,32.70,25.00,12.11,17.72
8009,5.54,53.79,52.73,32.04,19.60,29.83,49.69,54.76,47.63,51.85
8011,-4.52,13.39,20.69,-2.58,-10.01,-5.87,15.94,25.66,14.48,13.39
8013,11.75,14.10,11.66,-8.48,-24.46,-17.63,-13.69,-33.89,-46.14,-41.84
8014,,,,,,,,4.61,-11.58,-5.96
8015,16.68,31.84,34.25,9.31,2.15,4.36,20.13,12.65,0.11,-0.15
8017,-1.18,39.87,48.03,30.44,25.91,34.95,61.72,63.93,62.29,65.60
8019,15.29,29.85,32.26,3.36,-8.70,-2.81,1.20,-8.32,-17.89,-12.00
8021,-8.52,2.91,3.57,-15.40,-15.73,-18.11,0.63,-0.79,-12.93,-9.22
8023,-44.09,-34.55,-23.05,-42.13,-46.43,-50.88,-33.37,-34.32,-48.91,-48.67
8025,10.99,30.82,31.17,15.47,2.19,8.83,23.81,35.37,27.21,25.90
8027,29.48,43.86,54.07,40.87,20.58,32.52,44.72,37.81,28.91,33.89
8029,20.64,41.52,39.87,21.08,8.91,22.19,40.26,38.83,32.29,39.52
8031,-2.76,1.19,-2.32,-23.60,-30.54,-31.71,-30.99,-40.29,-52.41,-49.24
8033,-4.12,56.06,58.12,35.25,3.55,17.47,39.51,39.41,36.89,42.17
8035,33.80,51.90,59.83,41.49,18.13,30.57,33.55,33.82,17.22,25.76
8037,31.64,24.98,37.21,13.47,-0.45,-4.03,2.59,-6.54,-23.13,-14.92
8039,8.70,45.13,52.09,27.86,12.65,33.01,42.67,48.88,40.05,47.00
8041,20.92,37.25,51.11,41.14,24.06,26.86,33.12,34.62,18.82,20.38
8043,7.07,26.50,35.53,17.92,4.00,14.42,28.78,34.44,29.24,31.69
8045,23.48,29.78,39.23,15.64,-4.82,3.95,17.63,9.18,0.01,5.04
8047,-10.23,18.24,16.68,-4.78,-10.29,-6.54,-3.77,-14.96,-20.99,-16.36
8049,28.76,37.72,46.90,22.28,1.73,5.15,19.86,13.37,1.10,6.95
8051,31.76,29.36,36.40,13.77,-12.47,-9.67,0.95,-15.48,-27.35,-19.65
8053,37.32,46.43,51.21,45.21,7.77,19.01,22.61,19.77,17.36,20.67
8055,-23.70,-10.42,-0.65,-26.83,-23.30,-17.54,-0.91,1.33,-11.23,-8.25
8057,23.53,36.83,57.53,32.55,9.94,31.69,55.03,53.53,37.96,45.28
8059,23.81,34.12,39.19,14.76,0.84,5.73,8.14,5.19,-8.99,-4.85
8061,6.07,36.50,51.77,23.46,17.67,34.20,53.41,60.54,55.40,68.09
8063,6.67,50.15,55.36,30.35,23.95,28.99,50.12,56.88,44.83,52.59
8065,0.79,5.36,1.46,-21.51,-19.26,-24.90,-9.13,-12.28,-26.02,-24.38
8067,22.61,34.89,36.22,17.00,-2.50,8.94,10.39,-6.68,-16.28,-9.20
8069,24.85,29.89,34.72,12.36,-2.24,5.10,13.81,5.20,-9.73,-5.76
8071,-25.70,-16.20,-10.06,-30.22,-32.09,-28.24,-11.06,-1.58,-7.04,-2.65
8073,9.09,39.35,47.15,21.43,19.04,24.65,50.93,56.31,50.82,49.63
8075,8.93,35.04,45.84,13.83,8.41,16.70,39.96,41.95,35.16,38.00
8077,33.29,45.99,40.49,20.93,6.82,16.41,33.16,35.51,29.54,32.39
8079,16.08,32.44,47.06,10.91,-2.67,-2.91,25.93,25.20,10.27,8.15
8081,17.19,45.99,48.22,24.85,1.30,17.18,49.04,50.52,43.48,54.56
8083,19.49,44.17,47.46,30.15,11.18,20.39,38.38,28.33,19.45,23.21
8085,20.21,45.44,42.25,22.66,9.67,22.15,36.76,39.72,29.78,36.83
8087,9.33,35.55,44.02,12.29,8.28,13.90,31.53,37.72,24.03,24.96
8089,5.37,17.12,27.49,4.28,-4.39,-0.40,15.30,21.80,10.49,8.97
8091,30.23,47.96,42.48,29.43,11.81,23.13,25.71,4.56,-8.79,-5.15
8093,15.65,34.70,43.38,16.86,3.13,15.59,19.26,15.99,6.88,14.67
8095,-1.31,36.02,43.85,17.30,16.63,26.45,45.45,48.82,43.83,46.31
8097,13.81,7.25,14.91,-9.79,-25.61,-28.35,-20.15,-38.36,-48.82,-37.97
8099,-5.06,27.74,39.92,14.59,11.18,16.32,36.80,43.92,33.72,35.18
8101,-16.22,-2.38,-4.77,-23.76,-25.06,-22.64,-11.24,-6.33,-14.97,-13.95
8103,37.94,57.01,62.46,38.24,15.33,35.58,57.51,61.17,56.63,64.00
8105,27.35,32.84,47.35,25.53,8.52,9.51,27.67,26.09,8.85,7.95
8107,13.27,24.32,34.14,5.41,-7.65,-8.18,2.74,-10.14,-26.86,-15.60
8109,1.58,10.82,16.03,-4.37,-15.46,-13.17,-2.65,-15.38,-28.15,-30.73
8111,13.14,22.22,26.40,4.32,-7.95,5.41,13.99,-7.61,-9.27,-10.67
8113,-3.66,6.80,11.77,-8.86,-28.01,-27.78,-17.05,-44.71,-55.54,-43.19
8115,7.59,41.74,45.29,20.06,4.36,14.44,37.84,43.90,28.79,34.53
8117,23.54,17.04,33.86,5.30,-7.51,-8.42,-7.29,-20.20,-33.02,-24.66
8119,16.82,44.65,52.98,38.25,16.24,27.89,37.85,38.32,28.15,32.43
8121,8.37,51.19,56.33,27.59,22.77,37.58,57.30,63.04,56.51,62.06
8123,13.79,30.67,38.16,12.44,3.08,9.73,21.65,26.76,8.72,12.66
8125,7.22,46.58,49.77,15.36,16.65,26.08,47.59,52.47,48.38,54.69
9001,16.96,21.17,31.97,19.12,3.65,-7.87,-9.21,-4.06,-18.18,-10.63
9003,-4.39,-3.87,10.47,-7.12,-15.16,-25.78,-25.49,-19.14,-31.43,-25.85
9005,11.26,15.74,32.76,13.05,0.86,-7.04,-3.02,5.70,-4.92,3.62
9007,3.33,6.63,18.98,1.06,-12.42,-20.53,-18.11,-14.34,-23.00,-15.88
9009,5.07,11.29,20.08,3.24,-5.22,-22.00,-21.99,-10.55,-23.23,-22.33
9011,1.41,10.76,23.68,3.69,-12.94,-20.70,-17.67,-13.63,-21.05,-18.27
9013,1.33,7.09,24.16,2.67,-10.26,-18.10,-14.11,-11.02,-20.91,-12.56
9015,-7.15,8.65,23.65,3.02,-9.59,-20.68,-16.64,-6.45,-14.68,-13.28
10001,-13.32,6.69,29.17,20.92,0.49,-6.10,2.68,13.76,-9.81,-4.94
