id,1976,1980,1984,1988,1992
8107,13.27,24.32,34.14,5.41,-7.65
8109,1.58,10.82,16.03,-4.37,-15.46
8111,13.14,22.22,26.40,4.32,-7.95
8113,-3.66,6.80,11.77,-8.86,-28.01
8115,7.59,41.74,45.29,20.06,4.36
8117,23.54,17.04,33.86,5.30,-7.51
8119,16.82,44.65,52.98,38.25,16.24
8121,8.37,51.19,56.33,27.59,22.77
8123,13.79,30.67,38.16,12.44,3.08
8125,7.22,46.58,49.77,15.36,16.65
9001,16.96,21.17,31.97,19.12,3.65
9003,-4.39,-3.87,10.47,-7.12,-15.16
9005,11.26,15.74,32.76,13.05,0.86
9007,3.33,6.63,18.98,1.06,-12.42
9009,5.07,11.29,20.08,3.24,-5.22
9011,1.41,10.76,23.68,3.69,-12.94
9013,1.33,7.09,24.16,2.67,-10.26
9015,-7.15,8.65,23.65,3.02,-9.59
10001,-13.32,6.69,29.17,20.92,0.49
10003,-4.37,0.00,14.57,7.77,-12.81
10005,-3.88,9.36,34.94,24.27,2.41
11001,-65.12,-61.49,-71.66,-68.34,75.55
12001,-27.70,-13.72,7.03,1.26,-19.74
12003,-45.94,-6.59,43.24,43.15,21.34
12005,-2.20,24.76,51.55,46.05,21.88
12007,-38.95,-9.11,27.65,27.65,7.57
12009,-2.11,26.34,46.94,41.47,12.00
12011,-4.40,20.31,13.36,0.46,-20.92
12013,-36.16,-20.49,31.02,28.88,1.22
12015,10.30,33.81,41.71,28.61,2.26
12017,-8.27,20.97,32.96,26.55,1.06
12019,0.34,33.22,59.43,53.70,34.63
12021,24.80,48.08,57.51,50.31,27.32
12023,-25.41,-0.32,34.82,30.95,6.45
12027,-14.83,10.23,35.32,31.90,5.71
12029,-58.54,-28.65,28.59,19.58,-10.38
12031,-16.93,4.19,24.84,26.07,12.62
12033,3.95,20.64,42.65,36.65,19.79
12035,-24.43,7.00,24.17,20.96,-2.73
12037,-27.08,-7.89,34.10,19.27,2.95
12039,-31.32,-36.84,-12.08,-3.02,-31.34
12041,-54.33,-19.12,32.34,23.84,-2.89
12043,-34.96,-4.40,30.00,19.78,-3.56
12045,-24.69,-11.63,33.40,27.79,12.18
12047,-42.66,-18.96,15.65,21.91,-5.91
12049,-9.42,0.08,44.13,35.91,13.71
12051,-11.61,2.96,38.31,31.96,7.34
12053,-14.01,14.78,27.10,15.62,-2.59
12055,6.99,27.21,39.07,34.61,10.07
12057,-9.18,8.71,29.36,20.40,4.95
12059,-27.14,7.39,57.40,43.83,20.21
12061,7.00,31.59,46.16,40.13,15.39
12063,-22.86,-8.60,29.40,25.14,8.47
12065,-25.31,-17.97,4.35,6.16,-16.35
12067,-36.22,-12.83,27.41,33.36,6.81
12069,16.12,32.92,48.59,37.68,10.93
12071,10.71,34.78,47.80,36.12,11.91
12073,-9.34,-6.16,10.06,3.68,-16.25
12075,-33.41,-12.64,28.37,20.69,-4.88
12077,-29.11,-10.48,36.89,32.71,11.88
12079,-28.91,-15.50,14.59,13.51,-10.98
12081,9.12,28.75,45.51,31.45,8.86
12083,-2.38,20.55,39.95,33.29,5.30
12085,13.96,41.23,52.58,45.94,18.80
12086,-17.61,10.48,18.34,11.01,-3.54
12087,-14.41,17.08,35.49,21.86,-1.92
12089,-30.20,3.40,39.53,33.65,21.26
12091,13.18,42.72,67.05,60.71,26.14
12093,-32.87,-7.17,33.30,22.19,-1.28
12095,9.21,27.01,42.88,36.59,11.01
12097,1.19,23.40,46.92,36.78,9.13
12099,0.77,20.42,23.35,11.40,-11.73
12101,-8.61,18.17,23.85,11.70,-3.97
12103,2.75,13.71,30.34,16.05,-0.33
12105,-3.29,15.35,40.68,33.48,9.95
12107,-30.77,-3.57,18.75,15.01,-7.01
12109,-5.23,23.03,42.53,40.85,19.75
12111,-3.65,26.08,36.75,29.70,0.77
12113,6.33,31.67,64.10,56.29,26.09
12115,24.99,42.76,48.36,33.36,7.87
12117,15.05,37.30,51.89,45.14,18.24
12119,-35.39,-8.58,28.75,20.57,-5.36
12121,-31.25,-5.29,37.14,29.97,5.17
12123,-25.66,-3.19,39.97,39.05,1.73
12125,-45.88,-4.70,40.63,40.57,8.35
12127,-13.19,8.00,21.87,14.27,-3.89
12129,-18.98,-1.43,35.50,32.32,3.96
12131,-27.41,3.58,48.01,39.37,13.55
12133,-20.90,2.16,41.26,33.97,14.62
13001,-57.72,-20.45,19.87,23.93,0.98
13003,-63.61,-31.59,2.33,11.80,-12.68
13005,-60.25,-6.28,27.55,28.58,-3.66
13007,-58.42,-33.57,-1.17,-5.79,-32.22
13009,-12.82,-8.76,19.48,18.61,-13.16
13011,-75.71,-46.90,18.61,23.47,0.57
13013,-55.42,-25.23,27.06,31.81,3.38
13015,-62.64,-40.13,19.56,24.19,6.28
13017,-50.11,-26.68,10.88,3.52,-19.53
13019,-71.89,-31.38,17.84,18.98,-10.26
13021,-42.67,-34.48,-4.46,0.21,-15.21
13023,-45.65,-21.89,13.24,24.70,-3.54
13025,-73.00,-39.77,5.07,2.96,-8.00
13027,-41.30,-17.87,14.60,17.43,-2.69
13029,-45.76,-23.31,23.67,32.56,12.79
13031,-24.45,-13.13,25.34,29.99,6.22
13033,-31.64,-23.56,0.16,2.16,-18.33
13035,-55.93,-35.47,8.10,11.57,-14.02
13037,-52.35,-36.51,-16.24,-16.57,-41.48
13039,-49.71,-33.42,13.53,16.30,7.46
13043,-36.48,-13.55,19.24,17.91,-6.46
13045,-46.82,-16.49,34.34,38.92,10.39
13047,-22.62,9.41,43.82,44.29,18.89
13049,-58.95,-30.18,10.37,16.67,7.12
13051,-14.07,-3.37,15.30,17.23,0.54
13053,-47.95,-29.26,3.49,11.26,-15.94
13055,-62.34,-36.86,6.82,24.75,-8.39
13057,-42.96,-6.59,52.22,53.52,27.18
13059,-26.36,-12.19,6.34,-0.02,-17.05
13061,-52.50,-47.78,-28.31,-19.82,-42.94
13063,-24.83,4.26,45.69,31.38,-3.32
13065,-57.37,-43.56,15.94,18.36,1.69
13067,-13.46,13.38,54.84,45.91,20.18
13069,-52.91,-23.24,22.93,18.21,6.03
13071,-52.11,-19.41,28.89,30.55,7.68
13073,-15.45,8.02,53.47,55.86,33.84
13075,-62.27,-34.55,10.39,11.78,-11.46
13077,-34.11,-11.68,37.24,39.17,13.24
13079,-65.95,-43.41,-4.59,-4.04,-21.17
13081,-47.67,-28.84,15.27,26.46,-6.25
13083,-23.97,9.65,41.03,38.65,8.51
13085,-57.81,-18.67,34.55,42.70,7.63
13087,-19.82,-5.17,21.77,24.32,-0.75
13089,-12.80,-4.68,15.04,-1.27,-25.19
13091,-72.26,-45.19,4.77,10.53,-11.39
13093,-57.69,-36.58,-9.21,-7.51,-28.31
13095,-10.21,-2.65,13.47,9.64,-8.99
13097,-32.69,0.97,47.96,45.01,16.81
13099,-35.04,-15.54,19.96,17.04,-12.38
13101,-68.10,-32.69,33.24,26.42,5.38
13103,-27.46,-4.74,34.98,34.61,14.12
13105,-66.23,-33.77,11.53,13.77,-10.59
13107,-51.02,-28.35,22.92,19.09,-4.50
13109,-37.23,-14.21,14.60,24.85,0.47
13111,-12.50,11.49,35.83,33.42,4.91
13113,-13.44,24.20,62.93,56.10,28.86
13115,-32.53,-19.03,27.00,26.29,2.74
13117,-52.97,-15.10,50.09,54.14,21.75
13119,-71.84,-43.17,16.21,17.31,-1.92
13121,-35.68,-27.94,-13.78,-13.49,-24.09
13123,-32.93,-1.68,41.32,41.93,5.94
13125,-30.98,-9.14,44.58,46.84,19.74
13127,-27.29,-2.15,28.15,27.18,11.60
13129,-56.18,-24.49,36.20,43.60,10.36
13131,-51.32,-19.64,26.44,22.61,-2.49
13133,-59.07,-45.06,-10.94,-11.84,-23.46
13135,-19.93,10.16,58.95,51.65,24.95
13137,-59.13,-32.00,37.24,39.31,16.10
13139,-43.09,-21.27,34.03,38.01,15.09
13141,-52.96,-58.10,-53.21,-51.22,-61.93
13143,-55.53,-23.10,34.12,30.58,-1.82
13145,-29.90,-16.31,19.91,28.26,9.15
13147,-68.53,-47.66,6.48,10.24,-13.23
13149,-57.26,-20.72,29.63,27.84,-8.13
13151,-37.11,-2.74,38.12,42.69,19.84
13153,-41.79,-9.23,21.42,28.80,5.65
13155,-56.39,-18.96,19.02,14.32,-13.94
13157,-65.44,-34.28,21.46,25.55,2.01
13159,-45.77,-26.85,12.10,10.69,-10.98
13161,-58.90,-26.22,23.61,24.45,-1.70
13163,-40.82,-34.15,3.15,8.58,-19.08
13165,-52.75,-32.41,11.61,14.90,-17.30
13167,-51.99,-24.13,18.21,25.66,-4.83
13169,-44.99,-27.03,10.03,15.17,-7.80
13171,-53.36,-30.17,15.59,17.59,-8.12
13173,-71.95,-40.27,6.97,1.89,-12.32
13175,-44.85,-27.69,13.52,17.13,-0.27
13177,-21.75,7.43,39.66,48.42,21.16
13179,-54.54,-34.00,7.06,3.21,-12.93
13181,-46.64,-33.24,9.79,22.55,-6.02
13183,-69.69,-39.47,14.78,11.41,-7.92
13185,-32.36,4.90,25.72,25.55,5.66
13187,-61.59,-30.05,28.41,35.05,-0.75
13189,-28.19,-15.78,24.16,30.74,4.87
13191,-57.42,-40.28,-8.59,-8.99,-25.53
