statecounty,margin,coolidge,davis,other,lafollette
08023,5.77%, 48.37%, 42.60%, 0.90%, 8.14%
08025,19.41%, 50.23%, 30.82%, 0.60%, 18.35%
08027,15.32%, 44.41%, 29.09%, 1.04%, 25.47%
08029,27.79%, 54.36%, 26.57%, 0.77%, 18.31%
08031,44.24%, 63.44%, 16.93%, 0.44%, 19.20%
08033,7.17%, 21.30%, 35.20%, 1.12%, 42.38%
08035,30.98%, 55.34%, 24.36%, 0.38%, 19.91%
08037,16.18%, 44.43%, 26.52%, 0.80%, 28.25%
08039,30.22%, 54.97%, 19.48%, 0.81%, 24.75%
08041,33.12%, 55.69%, 22.57%, 0.56%, 21.19%
08043,39.75%, 61.13%, 21.37%, 0.55%, 16.95%
08045,26.96%, 51.27%, 24.31%, 0.64%, 23.78%
08047,30.35%, 54.78%, 24.43%, 0.30%, 20.49%
08049,29.74%, 54.31%, 24.56%, 0.16%, 20.97%
08051,13.67%, 44.70%, 23.82%, 0.44%, 31.04%
08053,21.38%, 50.00%, 28.62%, 0.72%, 20.65%
08055,20.08%, 49.08%, 21.49%, 0.42%, 29.00%
08057,48.38%, 67.35%, 18.97%, 0.85%, 12.82%
08059,44.26%, 63.69%, 16.63%, 0.26%, 19.42%
08061,20.59%, 47.49%, 25.43%, 0.18%, 26.90%
08063,39.65%, 60.21%, 20.57%, 0.80%, 18.42%
08065,13.35%, 43.00%, 26.23%, 1.11%, 29.65%
08067,1.12%, 35.13%, 36.25%, 0.53%, 28.10%
08069,46.57%, 66.65%, 20.08%, 0.81%, 12.46%
08071,21.40%, 48.68%, 23.56%, 0.49%, 27.28%
08073,30.91%, 54.70%, 21.12%, 0.40%, 23.78%
08075,29.01%, 55.60%, 16.95%, 0.86%, 26.59%
08077,18.32%, 45.53%, 26.83%, 0.44%, 27.21%
08079,15.03%, 46.01%, 30.98%, 0.61%, 22.39%
08081,18.19%, 50.70%, 32.51%, 0.20%, 16.58%
08083,0.89%, 34.58%, 35.46%, 0.69%, 29.27%
08085,18.49%, 45.82%, 27.33%, 0.68%, 26.16%
08087,54.04%, 69.99%, 15.95%, 0.65%, 13.40%
08089,34.75%, 59.19%, 24.44%, 0.91%, 15.46%
08091,12.72%, 44.28%, 23.42%, 0.73%, 31.56%
08093,29.25%, 56.12%, 26.87%, 1.96%, 15.05%
08095,17.89%, 49.61%, 18.30%, 0.37%, 31.72%
08097,16.68%, 47.27%, 21.82%, 0.32%, 30.59%
08099,35.15%, 59.21%, 24.06%, 0.92%, 15.80%
08101,28.29%, 52.86%, 24.57%, 0.54%, 22.02%
