05105,x,x,x,"2,262",635,28.07%, 63.88%, 35.81%,"1,445",810, 7
05107,x,x,x,"10,586","1,952",18.44%, 58.90%, 40.46%,"6,235","4,283", 68
05109,x,x,x,"3,143","1,518",48.30%, 73.69%, 25.39%,"2,316",798, 29
05111,x,x,x,"8,998","5,102",56.70%, 77.91%, 21.20%,"7,010","1,908", 80
05113,x,x,x,"4,823","2,489",51.61%, 74.83%, 23.22%,"3,609","1,120", 94
05115,x,x,x,"10,244","3,615",35.29%, 67.52%, 32.23%,"6,917","3,302", 25
05117,x,x,x,x,x,"3,059","1,313",42.92%, 28.54%,"2,186",873
05119,x,x,x,"91,468","23,965",26.20%, 62.95%, 36.75%,"57,576","33,611", 281
05121,x,x,x,x,x,"4,103","1,053",25.66%, 37.17%,"2,578","1,525"
05123,x,x,x,"8,631","3,018",34.97%, 65.95%, 30.98%,"5,692","2,674",265
05125,x,x,x,"12,527","3,469",27.69%, 63.64%, 35.95%,"7,972","4,503", 52
05127,x,x,x,x,x,"3,195","1,653",51.74%, 24.13%,"2,424",771
05129,x,x,x,x,x,"4,016","2,310",57.52%, 21.24%,"3,163",853
05131,x,x,x,"31,047","19,449",62.64%, 81.23%, 18.58%,"25,219","5,770", 58
05133,x,x,x,"3,613","1,478",40.91%, 69.91%, 29.01%,"2,526","1,048", 39
05135,x,x,x,"3,840","1,523",39.66%, 69.71%, 30.05%,"2,677","1,154", 9
05137,x,x,x,"2,952","1,031",34.93%, 67.38%, 32.45%,"1,989",958, 5
05139,x,x,x,"15,543","8,394",54.01%, 76.72%, 22.72%,"11,925","3,531", 87
05141,x,x,x,"4,235","1,028",24.27%, 61.91%, 37.64%,"2,622","1,594", 19
05143,x,x,x,"24,701","10,415",42.16%, 70.94%, 28.78%,"17,523","7,108", 70
05145,x,x,x,"12,941","4,540",35.08%, 67.24%, 32.15%,"8,701","4,161", 79
05147,x,x,x,"3,222",806,25.02%, 61.73%, 36.72%,"1,989","1,183", 50
05149,x,x,x,x,x,"4,979","1,641",32.96%, 33.52%,"3,310","1,669"
06001,x,x,x,"471,195","57,392",12.18%, 55.02%, 42.84%,"259,254","201,862"," 10,079"
06003,x,x,x,576,171,29.69%, 63.54%, 33.85%,366,195, 15
06005,x,"6,616",828,12.52%, 53.40%, 40.89%, 5.14%, 0.57%,"2,705",340, 38
06007,x,"50,028","10,418",20.82%, 57.61%, 36.78%, 4.93%, 0.68%,"18,401","2,468", 340
06009,x,"6,779","1,851",27.30%, 60.76%, 33.46%, 4.48%, 1.30%,"2,268",304, 88
06011,x,"4,717",905,19.19%, 57.56%, 38.37%, 3.54%, 0.53%,"1,810",167, 25
06013,x,x,x,"256,884","27,326",10.64%, 54.13%, 43.49%,"139,044","111,718"," 6,122"
06015,x,"5,648",771,13.65%, 51.82%, 38.17%, 9.12%, 0.89%,"2,156",515, 50
06017,x,"20,905","2,676",12.80%, 54.20%, 41.40%, 3.80%, 0.61%,"8,654",794, 127
06019,x,"156,719","6,369",4.06%, 50.44%, 46.38%, 2.51%, 0.68%,"72,682","3,927"," 1,059"
06021,x,"7,743","1,888",24.38%, 59.01%, 34.62%, 5.92%, 0.45%,"2,681",458, 35
06023,x,"45,763","1,213",2.65%, 48.83%, 46.18%, 4.14%, 0.85%,"21,132","1,896", 390
06025,x,"22,849","6,196",27.12%, 62.05%, 34.93%, 2.66%, 0.36%,"7,982",607, 82
06027,x,"7,159","2,867",40.05%, 68.07%, 28.02%, 3.35%, 0.56%,"2,006",240, 40
06029,x,"119,193","29,749",24.96%, 60.14%, 35.18%, 4.29%, 0.38%,"41,937","5,112", 458
06031,x,"18,595","3,235",17.40%, 56.52%, 39.12%, 3.99%, 0.38%,"7,274",742, 70
06033,x,"11,750","1,762",15.00%, 55.12%, 40.13%, 4.33%, 0.42%,"4,715",509, 49
06035,x,"7,122",484,6.80%, 50.80%, 44.00%, 4.49%, 0.70%,"3,134",320, 50
06037,x,"2,830,370","359,740",12.71%, 54.75%, 42.04%, 2.54%, 0.66%,"1,189,977","71,978"," 18,698"
06039,x,"14,892","1,255",8.43%, 52.61%, 44.18%, 2.87%, 0.33%,"6,580",428, 49
06041,x,x,x,"103,883","6,709",6.46%, 52.10%, 45.64%,"54,123","47,414"," 2,346"
06043,x,"3,779",635,16.80%, 56.15%, 39.35%, 3.73%, 0.77%,"1,487",141, 29
06045,x,"21,814","1,693",7.76%, 51.01%, 43.25%, 4.81%, 0.92%,"9,435","1,050", 201
06047,x,"32,648","3,823",11.71%, 54.33%, 42.62%, 2.56%, 0.49%,"13,914",836, 161
06049,x,"3,565",814,22.83%, 58.49%, 35.65%, 5.27%, 0.59%,"1,271",188, 21
06051,x,"2,799","1,044",37.30%, 66.88%, 29.58%, 2.79%, 0.75%,828,78, 21
06053,x,"82,408","14,459",17.55%, 57.04%, 39.49%, 2.76%, 0.71%,"32,545","2,274", 585
06055,x,"39,261","8,874",22.60%, 59.61%, 37.01%, 2.91%, 0.48%,"14,529","1,141", 188
06057,x,"14,638","2,311",15.79%, 54.68%, 38.89%, 5.93%, 0.50%,"5,693",868, 73
06059,x,"656,653","271,444",41.34%, 68.27%, 26.93%, 4.36%, 0.44%,"176,847","28,634"," 2,881"
