statecounty,margin,nixon,humphrey,wallace
26005,30.60, 60.32, 29.72, 9.76
26007,8.25, 50.77, 42.52, 6.63
26009,25.89, 59.23, 33.35, 7.38
26011,12.94, 52.37, 39.43, 8.12
26013,5.18, 45.45, 50.63, 3.50
26015,21.34, 55.14, 33.81, 10.87
26017,6.18, 44.12, 50.30, 5.38
26019,28.23, 60.91, 32.68, 6.24
26021,17.28, 51.08, 33.80, 14.83
26023,20.18, 55.88, 35.70, 8.20
26025,6.46, 47.64, 41.18, 10.82
26027,9.26, 46.93, 37.68, 15.14
26029,18.65, 55.14, 36.49, 8.29
26031,8.44, 49.60, 41.17, 9.19
26033,11.92, 52.04, 40.13, 7.70
26035,24.11, 56.85, 32.74, 10.32
26037,23.32, 56.77, 33.45, 9.59
26039,18.30, 55.04, 36.74, 8.13
26041,13.87, 40.58, 54.45, 4.87
26043,7.20, 43.95, 51.15, 4.76
26045,23.51, 57.13, 33.62, 9.07
26047,23.78, 58.83, 35.04, 5.96
26049,6.84, 38.99, 45.83, 14.96
26051,23.34, 56.55, 33.21, 10.18
26053,16.30, 39.71, 56.00, 4.16
26055,28.96, 61.51, 32.55, 5.79
26057,32.55, 62.68, 30.13, 7.08
26059,34.98, 63.27, 28.29, 8.23
26061,2.47, 46.94, 49.41, 3.34
26063,37.90, 64.51, 26.62, 8.69
26065,10.38, 51.46, 41.08, 7.07
26067,16.09, 54.01, 37.92, 7.90
26069,20.91, 55.42, 34.51, 10.03
26071,10.78, 42.36, 53.14, 4.37
26073,21.47, 57.37, 35.90, 6.52
26075,18.56, 53.66, 35.11, 10.97
26077,18.09, 53.90, 35.81, 10.02
26079,19.57, 53.29, 33.72, 12.90
26081,14.96, 53.68, 38.72, 7.25
26083,6.45, 43.97, 50.42, 5.44
26085,13.87, 39.10, 52.97, 7.86
26087,22.69, 54.85, 32.17, 12.88
26089,26.53, 60.06, 33.53, 6.27
26091,19.65, 55.85, 36.20, 7.54
26093,15.16, 51.01, 35.85, 12.93
26095,21.42, 58.33, 36.92, 4.71
26097,16.52, 54.77, 38.26, 6.93
26099,24.77, 30.42, 55.19, 14.09
26101,4.05, 48.24, 44.20, 7.39
26103,10.66, 42.68, 53.34, 3.82
26105,16.79, 54.02, 37.23, 8.69
26107,27.47, 59.97, 32.49, 7.42
26109,2.75, 45.50, 48.25, 6.13
26111,29.17, 60.57, 31.40, 7.82
26113,44.66, 67.72, 23.06, 9.15
26115,8.18, 39.64, 47.81, 12.31
26117,20.31, 55.89, 35.59, 8.35
26119,19.95, 54.40, 34.45, 11.06
26121,6.37, 48.11, 41.74, 9.90
26123,29.48, 59.97, 30.49, 9.43
26125,0.55, 45.31, 44.76, 9.56
26127,25.28, 56.22, 30.93, 12.59
26129,18.98, 54.56, 35.57, 9.81
26131,3.43, 45.72, 49.15, 5.03
26133,37.80, 63.77, 25.97, 10.03
26135,30.42, 60.95, 30.53, 8.51
26137,5.54, 49.33, 43.79, 6.83
26139,42.41, 67.60, 25.19, 7.01
26141,5.05, 48.85, 43.80, 7.33
26143,21.13, 55.91, 34.78, 9.14
26145,7.50, 49.17, 41.67, 8.92
26147,11.33, 49.41, 38.09, 12.33
26149,28.52, 59.20, 30.68, 9.97
26151,42.91, 65.45, 22.54, 11.94
26153,3.23, 45.40, 48.62, 5.91
26155,12.63, 50.88, 38.25, 10.55
26157,33.15, 61.44, 28.28, 10.13
26159,16.36, 51.81, 35.44, 12.42
26161,4.32, 46.82, 42.50, 9.58
26163,37.09, 26.16, 63.25, 10.21
26165,19.79, 56.38, 36.59, 6.91
27001,14.85, 39.84, 54.69, 5.06
27003,28.52, 32.63, 61.15, 6.13
27005,1.44, 46.37, 47.81, 5.57
27007,11.73, 40.90, 52.63, 6.26
27009,6.89, 43.29, 50.17, 6.41
27011,12.01, 41.69, 53.70, 4.46
27013,1.62, 48.99, 47.37, 3.51
27015,19.87, 57.00, 37.13, 5.69
27017,45.95, 25.10, 71.04, 3.69
27019,17.48, 56.44, 38.96, 4.48
27021,4.01, 48.91, 44.89, 6.11
27023,7.08, 44.70, 51.78, 3.40
27025,13.71, 39.90, 53.61, 6.43
27027,0.46, 47.77, 48.23, 3.86
27029,21.40, 36.06, 57.46, 6.09
27031,4.40, 49.33, 44.94, 5.55
27033,13.58, 54.80, 41.21, 3.96
27035,4.89, 45.20, 50.09, 4.54
27037,18.29, 38.65, 56.94, 4.29
27039,10.98, 53.67, 42.69, 3.52
